94212,Loxia,curvirostra,Red Crossbill,Richard Dunn,United Kingdom,55.212,-2.043,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
99862,Loxia,curvirostra,Red Crossbill,Tony Whitehead,United Kingdom,50.651,-3.582,Call Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
123808,Luscinia,megarhynchos,Common Nightingale,david m,United Kingdom,51.9001,-0.5289,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
123810,Luscinia,megarhynchos,Common Nightingale,david m,United Kingdom,51.9001,-0.5289,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
132580,Luscinia,megarhynchos,Common Nightingale,Kieran Nixon,United Kingdom,52.9515,1.0895,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
148426,Merops,apiaster,European Bee-eater,Patrik berg,Spain,39.8427,-5.9972,call,http://creativecommons.org/licenses/by-nc-sa/3.0/
141026,Merops,apiaster,European Bee-eater,Fernand DEROUSSEN,France,43.5722,4.5868,song,http://creativecommons.org/licenses/by-nc-nd/3.0/
97194,Merops,apiaster,European Bee-eater,Rodolphe ALEXIS,Spain,,,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
125137,Motacilla,aguimp,African Pied Wagtail,Bram Piot,Zambia,-17.807,25.6894,"call, female, male",http://creativecommons.org/licenses/by-nc-sa/3.0/
41428,Motacilla,aguimp,African Pied Wagtail,Derek Solomon,Zambia,-13.0667,31.7834,Call,http://creativecommons.org/licenses/by-nc-nd/2.5/
118441,Motacilla,aguimp,African Pied Wagtail,Rory Nefdt,Zambia,-15.9259,29.0292,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
69792,Motacilla,flava,Western Yellow Wagtail,Louis A. hansen,Denmark,54.5667,11.96242,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
102788,Motacilla,flava,Western Yellow Wagtail,Jarek Matusiak,Poland,51.338,22.965,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/
36637,Motacilla,flava,Western Yellow Wagtail,Rob van Bemmelen,Sweden,65.957,16.2078,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
103145,Muscicapa,striata,Spotted Flycatcher,maudoc,Italy,45.4191,10.8205,song,http://creativecommons.org/licenses/by-nc-nd/3.0/
134042,Muscicapa,striata,Spotted Flycatcher,Volker Arnold,Hungary,47.16,20.2228,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
139372,Muscicapa,striata,Spotted Flycatcher,Mats Rellmar,Sweden,56.0673,13.0125,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
27152,Oriolus,oriolus,Eurasian Golden Oriole,Patrik berg,Sweden,58.4834,14.5014,Song,http://creativecommons.org/licenses/by-nc-sa/3.0/
101377,Oriolus,oriolus,Eurasian Golden Oriole,Krzysiek Deoniziak,Poland,52.272,16.797,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
80356,Oriolus,oriolus,Eurasian Golden Oriole,Niels Krabbe,Sweden,55.6501,13.5667,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
122555,Parus,major,Great Tit,Ashley Fisher,United Kingdom,49.9222,-6.2917,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/
94652,Parus,major,Great Tit,Richard Dunn,United Kingdom,55.129,-1.873,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
71454,Parus,major,Great Tit,Richard Dunn,United Kingdom,55.219,-1.765,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
134291,Passer,domesticus,House Sparrow,Lars Lachmann,Germany,52.7877,9.1168,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/
151150,Passer,domesticus,House Sparrow,Jarek Matusiak,Poland,52.6646,23.5784,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/
29766,Passer,domesticus,House Sparrow,Stuart Fisher,United Kingdom,52.7601,0.2973,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/
143465,Passer,montanus,Eurasian Tree Sparrow,Buhl Johannes,Germany,48.2976,10.9317,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
90122,Passer,montanus,Eurasian Tree Sparrow,Volker Arnold,Germany,54.191,9.106,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/
43764,Passer,montanus,Eurasian Tree Sparrow,Jarek Matusiak,Poland,52.30470007,20.94783783,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
46209,Perdix,perdix,Grey Partridge,Matthias Feuersenger,Germany,49.5863,8.4318,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
46211,Perdix,perdix,Grey Partridge,Matthias Feuersenger,Germany,49.5863,8.4318,"flight calls, song",http://creativecommons.org/licenses/by-nc-nd/2.5/
42430,Perdix,perdix,Grey Partridge,Patrik berg,Sweden,56.4451,16.5662,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
95058,Periparus,ater,Coal Tit,Richard Dunn,United Kingdom,55.31,-2.114,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
98842,Periparus,ater,Coal Tit,Tony Whitehead,United Kingdom,50.596,-3.727,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
132149,Periparus,ater,Coal Tit,Paul Driver,United Kingdom,51.721,-0.145,extended song,http://creativecommons.org/licenses/by-nc-sa/3.0/
113089,Pernis,apivorus,European Honey Buzzard,Simon Elliott,United Kingdom,57.4749,-4.2203,"call, female",http://creativecommons.org/licenses/by-nc-sa/3.0/
145738,Pernis,apivorus,European Honey Buzzard,OREVER,France,44.1686,6.6018,"call, flight call",http://creativecommons.org/licenses/by-nc-sa/3.0/
146062,Pernis,apivorus,European Honey Buzzard,Francesco Sottile,Italy,39.4163,16.7029,"flight call, male",http://creativecommons.org/licenses/by-nc-sa/3.0/
153129,Phasianus,colchicus,Common Pheasant,Patrik berg,Sweden,58.5731,14.2489,song,http://creativecommons.org/licenses/by-nc-sa/3.0/
149146,Phasianus,colchicus,Common Pheasant,Fernand DEROUSSEN,France,48.3941,2.577,song,http://creativecommons.org/licenses/by-nc-nd/3.0/
121326,Phasianus,colchicus,Common Pheasant,Jarek Matusiak,Poland,52.359,20.929,"alarm call, male",http://creativecommons.org/licenses/by-nc-sa/3.0/
76760,Phoenicurus,phoenicurus,Common Redstart,Richard Dunn,United Kingdom,55.2189,-1.7648,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
76761,Phoenicurus,phoenicurus,Common Redstart,Richard Dunn,United Kingdom,55.2189,-1.7648,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
76762,Phoenicurus,phoenicurus,Common Redstart,Richard Dunn,United Kingdom,55.2189,-1.7648,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
153833,Phylloscopus,collybita,Common Chiffchaff,david m,United Kingdom,54.1534,-0.6051,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
