,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
95,Laredo,Texas,27.5305671,-99.48032409999999,Laredo International Airport,"5210 Bob Bullock Loop, Laredo",4.1
96,Lubbock,Texas,33.5778631,-101.8551665,Lubbock Preston Smith International Airport,"5401 N Martin L King Blvd, Lubbock",3.7
97,Madison,Wisconsin,43.0730517,-89.4012302,Dane County Regional Airport,"4000 International Ln, Madison",4.1
98,Gilbert,Arizona,33.3528264,-111.789027,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
99,Norfolk,Virginia,36.8507689,-76.28587259999999,Norfolk International Airport,"2200 Norview Ave, Norfolk",3.7
100,Reno,Nevada,39.5296329,-119.8138027,Reno-Tahoe International Airport,"2001 E Plumb Ln, Reno",4.1
101,Winston-Salem,North Carolina,36.09985959999999,-80.244216,Piedmont Triad International Airport,"1000 Ted Johnson Pkwy, Greensboro",4.3
102,Glendale,Arizona,33.5386523,-112.1859866,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
103,Hialeah,Florida,25.8575963,-80.2781057,Miami International Airport,"2100 NW 42nd Ave, Miami",3.6
104,Garland,Texas,32.912624,-96.63888329999999,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8
105,Scottsdale,Arizona,33.4941704,-111.9260519,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
106,Irving,Texas,32.8140177,-96.9488945,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8
107,Chesapeake,Virginia,36.7682088,-76.2874927,Norfolk International Airport,"2200 Norview Ave, Norfolk",3.7
108,North Las Vegas,Nevada,36.1988592,-115.1175013,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas",3.9
109,Fremont,California,37.5482697,-121.9885719,Oakland International Airport,"1 Airport Dr, Oakland",3.9
110,Baton Rouge,Louisiana,30.4582829,-91.1403196,Baton Rouge Metropolitan Airport,"9430 Jackie Cochran Dr, Baton Rouge",3.8
111,Richmond,Virginia,37.5407246,-77.4360481,Richmond International Airport,"1 Richard E Byrd Terminal Dr, Richmond",4.1
112,Boise,Idaho,43.6187102,-116.2146068,Eckhart International Airport-1S1,"County Rd 46, Boise",
