Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws
CJ Parker,20.0,20.0,0.0,24.0,41.0,0.0,0.0,18.0,0.0,,,
Kassius Ohno,16.0,24.0,0.0,,,,,,,,,
Summer Rae,15.0,25.0,0.0,19.0,55.0,2.0,11.0,50.0,0.0,12.0,42.0,0.0
Goldust,25.0,13.0,1.0,101.0,77.0,1.0,22.0,40.0,0.0,96.0,26.0,0.0
Rick Victor,28.0,11.0,0.0,,,,,,,,,
Ted DiBiase,22.0,14.0,1.0,,,,,,,,,
Baron Corbin,8.0,28.0,0.0,55.0,16.0,0.0,61.0,54.0,0.0,103.0,59.0,3.0
Mojo Rawley,29.0,7.0,0.0,23.0,9.0,0.0,41.0,11.0,0.0,113.0,31.0,2.0
Michael McGillicutty,6.0,27.0,2.0,,,,,,,,,
Charlotte,17.0,16.0,0.0,40.0,36.0,0.0,108.0,35.0,3.0,86.0,42.0,1.0
Christian,22.0,11.0,0.0,10.0,14.0,0.0,,,,,,
Yoshi Tatsu,13.0,17.0,2.0,,,,,,,,,
Jason Jordan,11.0,20.0,0.0,18.0,40.0,0.0,28.0,59.0,1.0,126.0,23.0,2.0
Danny Burch,6.0,22.0,0.0,,,,,,,,,
Diego,27.0,1.0,0.0,78.0,42.0,1.0,29.0,86.0,0.0,1.0,19.0,0.0
Fernando,27.0,1.0,0.0,70.0,39.0,1.0,30.0,87.0,0.0,1.0,15.0,0.0
Curt Hawkins,0.0,26.0,1.0,,,,,,,4.0,44.0,0.0
Jake Carter,12.0,15.0,0.0,,,,,,,,,
Hunico,2.0,24.0,0.0,,,,,,,,,
Tyler Breeze,7.0,19.0,0.0,29.0,53.0,2.0,44.0,105.0,2.0,17.0,163.0,2.0
Dante Dash,10.0,15.0,0.0,,,,,,,,,
Tyson Kidd,12.0,13.0,0.0,37.0,70.0,0.0,39.0,49.0,1.0,,,
Sawyer Fulton,10.0,14.0,0.0,5.0,32.0,0.0,7.0,41.0,0.0,28.0,42.0,1.0
Angelo Dawkins,10.0,13.0,0.0,12.0,23.0,0.0,11.0,45.0,0.0,21.0,62.0,0.0
Knuckles Madsen,4.0,19.0,0.0,,,,,,,,,
Billy Gunn,18.0,2.0,1.0,7.0,10.0,1.0,,,,,,
Brad Maddox,3.0,18.0,0.0,,,,1.0,26.0,0.0,,,
Enzo Amore,3.0,15.0,1.0,29.0,9.0,1.0,67.0,19.0,0.0,79.0,48.0,3.0
JTG,0.0,19.0,0.0,,,,,,,,,
Rey Mysterio,14.0,5.0,0.0,8.0,11.0,0.0,,,,,,
Travis Tyler,1.0,18.0,0.0,8.0,5.0,0.0,,,,,,
Axl Keegan,3.0,15.0,0.0,,,,,,,,,
Camacho,5.0,13.0,0.0,5.0,13.0,0.0,,,,,,
Garrett Dylan,16.0,2.0,0.0,,,,,,,,,
Mike Dalton,3.0,15.0,0.0,,,,,,,,,
Road Dogg,17.0,0.0,1.0,7.0,10.0,1.0,,,,,,
Briley Pierce,1.0,14.0,1.0,,,,,,,,,
David Otunga,0.0,16.0,0.0,,,,,,,,,
Audrey Marie,6.0,9.0,0.0,,,,,,,,,
Paul Heyman,2.0,11.0,0.0,,,,,,,,,
Ricardo Rodriguez,6.0,6.0,1.0,,,,,,,,,
Rosa Mendes,1.0,12.0,0.0,2.0,33.0,1.0,,,,,,
Sakamoto,3.0,9.0,1.0,,,,,,,,,
Eva Marie,5.0,7.0,0.0,22.0,15.0,1.0,13.0,9.0,1.0,18.0,22.0,0.0
Percy Watson,3.0,9.0,0.0,,,,,,,,,
Derrick Bateman,2.0,9.0,0.0,,,,,,,,,
Kendall Skye,7.0,4.0,0.0,3.0,9.0,0.0,,,,,,
Troy McClain,1.0,10.0,0.0,,,,,,,,,
William Regal,5.0,6.0,0.0,,,,,,,,,
Malik Omari,3.0,6.0,1.0,,,,,,,,,
Oliver Grey,7.0,3.0,0.0,,,,,,,,,
Tye Dillinger,0.0,10.0,0.0,14.0,39.0,0.0,24.0,66.0,3.0,60.0,41.0,1.0
Konnor O'Brian,7.0,2.0,0.0,,,,,,,,,
Slate Randall,2.0,6.0,1.0,,,,,,,,,
Cal Bishop,2.0,5.0,1.0,,,,,,,,,
El Local,0.0,8.0,0.0,,,,,,,,,
Mickey Keegan,1.0,7.0,0.0,,,,,,,,,
Wesley Blake,5.0,3.0,0.0,10.0,39.0,0.0,,,,7.0,45.0,1.0
Kalisto,3.0,4.0,0.0,51.0,10.0,0.0,107.0,54.0,2.0,75.0,59.0,0.0
Tamina,1.0,5.0,1.0,,,,7.0,43.0,0.0,6.0,36.0,0.0
Viktor,6.0,1.0,0.0,51.0,33.0,0.0,19.0,143.0,0.0,2.0,145.0,1.0
Brandon Traven,1.0,5.0,0.0,,,,,,,,,
Bull Dempsey,1.0,5.0,0.0,35.0,20.0,0.0,62.0,34.0,0.0,,,
Judas Devlin,1.0,5.0,0.0,,,,,,,,,
Rick Viktor,5.0,1.0,0.0,,,,,,,,,
Zeb Colter,0.0,5.0,1.0,,,,,,,,,
Adam Rose,4.0,1.0,0.0,86.0,21.0,0.0,8.0,142.0,1.0,6.0,23.0,0.0
El Torito,5.0,0.0,0.0,48.0,5.0,0.0,,,,,,
Eve Torres,3.0,2.0,0.0,,,,,,,,,
JoJo,3.0,2.0,0.0,,,,,,,,,
Konnor,5.0,0.0,0.0,49.0,29.0,0.0,19.0,141.0,0.0,2.0,110.0,1.0
Rami Sebei,2.0,3.0,0.0,,,,,,,,,
Triple H,1.0,3.0,1.0,,,,,,,,,
Alexa Bliss,1.0,3.0,0.0,24.0,19.0,0.0,19.0,37.0,0.0,35.0,90.0,0.0
Becky Lynch,0.0,4.0,0.0,27.0,21.0,0.0,71.0,59.0,1.0,102.0,54.0,5.0
El Local #1,0.0,4.0,0.0,,,,,,,,,
El Local #2,0.0,4.0,0.0,,,,,,,,,
Sylvester Lefort,1.0,3.0,0.0,7.0,23.0,1.0,,,,,,
The Undertaker,3.0,1.0,0.0,,,,,,,,,
Bad News Barrett,3.0,0.0,0.0,58.0,17.0,2.0,20.0,54.0,0.0,,,
Brock Lesnar,2.0,1.0,0.0,,,,,,,8.0,3.0,0.0
Hornswoggle,3.0,0.0,0.0,3.0,37.0,0.0,,,,,,
Luther Ward,2.0,1.0,0.0,,,,,,,,,
Simon Gotch,1.0,2.0,0.0,35.0,31.0,0.0,57.0,41.0,0.0,11.0,111.0,1.0
Solomon Crowe,2.0,1.0,0.0,10.0,21.0,0.0,46.0,37.0,1.0,,,
The Rock,2.0,1.0,0.0,,,,,,,,,
Veronica Lane,0.0,3.0,0.0,,,,,,,,,
Buddy Murphy,0.0,2.0,0.0,7.0,28.0,0.0,,,,10.0,33.0,1.0
Denton Blackwell,0.0,2.0,0.0,,,,,,,,,
Jamie Noble,2.0,0.0,0.0,,,,,,,,,
Marcus Louis,0.0,2.0,0.0,16.0,18.0,1.0,5.0,24.0,0.0,,,
Memo Montenegro,0.0,2.0,0.0,,,,,,,,,
Vickie Guerrero,0.0,2.0,0.0,,,,,,,,,
Cesaro,,,,64.0,120.0,1.0,117.0,69.0,1.0,78.0,62.0,3.0
Big E,,,,84.0,48.0,0.0,96.0,86.0,1.0,107.0,31.0,1.0
Rusev,,,,80.0,30.0,0.0,52.0,93.0,4.0,70.0,97.0,2.0
Stardust,,,,52.0,45.0,0.0,38.0,110.0,0.0,5.0,66.0,2.0
Damien Mizdow,,,,11.0,39.0,0.0,14.0,29.0,0.0,,,
Dash Wilder,,,,11.0,33.0,0.0,38.0,57.0,0.0,34.0,64.0,3.0
Batista,,,,15.0,13.0,4.0,,,,,,
Carmella,,,,11.0,18.0,0.0,36.0,33.0,1.0,59.0,62.0,1.0
Hideo Itami,,,,24.0,0.0,1.0,25.0,13.0,0.0,26.0,2.0,0.0
Elias Sampson,,,,3.0,21.0,0.0,,,,,,
Chad Gable,,,,5.0,17.0,0.0,26.0,55.0,0.0,120.0,25.0,2.0
Steve Cutler,,,,4.0,15.0,0.0,8.0,22.0,1.0,10.0,35.0,1.0
Dana Brooke,,,,4.0,10.0,0.0,18.0,39.0,1.0,11.0,74.0,0.0
Finn Balor,,,,9.0,3.0,0.0,103.0,20.0,0.0,60.0,11.0,1.0
Neville,,,,,,,116.0,38.0,0.0,78.0,26.0,0.0
Kevin Owens,,,,,,,63.0,85.0,4.0,61.0,130.0,2.0
King Barrett,,,,,,,22.0,65.0,0.0,3.0,14.0,0.0
Blake,,,,,,,31.0,51.0,0.0,2.0,31.0,1.0
Murphy,,,,,,,32.0,50.0,0.0,2.0,31.0,1.0
D-Von Dudley,,,,,,,36.0,29.0,1.0,19.0,77.0,0.0
Bubba Ray Dudley,,,,,,,36.0,28.0,1.0,21.0,72.0,0.0
Braun Strowman,,,,,,,30.0,26.0,1.0,65.0,53.0,3.0
Elias Samson,,,,,,,12.0,38.0,1.0,29.0,48.0,0.0
Apollo Crews,,,,,,,42.0,8.0,0.0,125.0,30.0,0.0
Samoa Joe,,,,,,,36.0,11.0,1.0,32.0,59.0,4.0
Mike Rawlis,,,,,,,9.0,24.0,0.0,,,
Tucker Knight,,,,,,,3.0,24.0,1.0,28.0,45.0,0.0
Nia Jax,,,,,,,17.0,9.0,0.0,37.0,72.0,1.0
Riddick Moss,,,,,,,8.0,17.0,0.0,18.0,55.0,1.0
Asuka,,,,,,,24.0,0.0,0.0,112.0,3.0,2.0
Rhyno,,,,,,,8.0,16.0,0.0,50.0,13.0,0.0
Billie Kay,,,,,,,5.0,15.0,1.0,27.0,50.0,2.0
Hugo Knox,,,,,,,13.0,8.0,0.0,24.0,11.0,0.0
Lina,,,,,,,9.0,11.0,0.0,,,
Macho Mandow,,,,,,,14.0,5.0,0.0,,,
Jessie McKay,,,,,,,1.0,17.0,0.0,,,
Peyton Royce,,,,,,,2.0,16.0,0.0,20.0,67.0,2.0
Uhaa Nation,,,,,,,13.0,3.0,0.0,,,
Devin Taylor,,,,,,,6.0,9.0,0.0,,,
Alexander Wolfe,,,,,,,0.0,14.0,0.0,37.0,49.0,0.0
Tommy Dreamer,,,,,,,4.0,9.0,1.0,,,
Levis Valenzuela Jr.,,,,,,,7.0,6.0,0.0,15.0,1.0,0.0
Cassie,,,,,,,0.0,12.0,0.0,,,
Gionna Daddio,,,,,,,8.0,4.0,0.0,,,
Tino Sabbatelli,,,,,,,1.0,11.0,0.0,24.0,50.0,0.0
AJ Styles,,,,,,,,,,108.0,68.0,0.0
Karl Anderson,,,,,,,,,,31.0,89.0,2.0
Luke Gallows,,,,,,,,,,27.0,84.0,2.0
Big Cass,,,,,,,,,,61.0,40.0,1.0
Shinsuke Nakamura,,,,,,,,,,90.0,4.0,2.0
Liv Morgan,,,,,,,,,,42.0,43.0,0.0
Aliyah,,,,,,,,,,26.0,51.0,1.0
Patrick Clark,,,,,,,,,,26.0,52.0,0.0
No Way Jose,,,,,,,,,,56.0,19.0,1.0
Daria Berenato,,,,,,,,,,27.0,47.0,0.0
Mandy Rose,,,,,,,,,,13.0,54.0,1.0
Andrade Almas,,,,,,,,,,40.0,23.0,0.0
Austin Aries,,,,,,,,,,37.0,23.0,1.0
Rich Swann,,,,,,,,,,41.0,19.0,1.0
Bobby Roode,,,,,,,,,,25.0,28.0,1.0
Ember Moon,,,,,,,,,,36.0,15.0,0.0
Oney Lorcan,,,,,,,,,,32.0,18.0,0.0
Tommaso Ciampa,,,,,,,,,,32.0,16.0,0.0
Johnny Gargano,,,,,,,,,,32.0,15.0,0.0
Shane Thorne,,,,,,,,,,28.0,17.0,0.0
Manny Andrade,,,,,,,,,,32.0,12.0,0.0
Nick Miller,,,,,,,,,,27.0,17.0,0.0
Cedric Alexander,,,,,,,,,,26.0,13.0,0.0
Kenneth Crawford,,,,,,,,,,16.0,21.0,0.0
Christopher Girard,,,,,,,,,,7.0,28.0,1.0
TJ Perkins,,,,,,,,,,22.0,10.0,0.0
Charlotte Flair,,,,,,,,,,12.0,18.0,1.0
Sunny Dhinsa,,,,,,,,,,11.0,19.0,0.0
Lince Dorado,,,,,,,,,,15.0,13.0,1.0
Gzim Selmani,,,,,,,,,,11.0,17.0,0.0
Adrienne Reese,,,,,,,,,,14.0,12.0,0.0
Akam,,,,,,,,,,23.0,3.0,0.0
Rezar,,,,,,,,,,23.0,3.0,0.0
Dan Matha,,,,,,,,,,7.0,17.0,1.0
Josh Woods,,,,,,,,,,9.0,15.0,0.0
Lana,,,,,,,,,,3.0,20.0,0.0
Niko Bogojevic,,,,,,,,,,7.0,14.0,0.0
Adrian Jaoude,,,,,,,,,,5.0,14.0,1.0
Otis Dozovic,,,,,,,,,,7.0,13.0,0.0
The Brian Kendrick,,,,,,,,,,11.0,9.0,0.0
Noam Dar,,,,,,,,,,7.0,12.0,0.0
Tony Nese,,,,,,,,,,7.0,12.0,0.0
Roderick Strong,,,,,,,,,,13.0,5.0,0.0
Eric Young,,,,,,,,,,8.0,9.0,0.0
Drew Gulak,,,,,,,,,,3.0,13.0,0.0
Kishan Raftar,,,,,,,,,,6.0,10.0,0.0
Ariya Daivari,,,,,,,,,,3.0,12.0,0.0
Jack Gallagher,,,,,,,,,,12.0,3.0,0.0
Nicola Glencross,,,,,,,,,,3.0,12.0,0.0
Noah Kekoa,,,,,,,,,,5.0,10.0,0.0
Tian Bing,,,,,,,,,,6.0,8.0,0.0
Gran Metalik,,,,,,,,,,8.0,5.0,0.0
Nikki Cross,,,,,,,,,,8.0,5.0,0.0
Noah Potjes,,,,,,,,,,3.0,10.0,0.0
Cezar Bononi,,,,,,,,,,1.0,9.0,1.0
James Ellsworth,,,,,,,,,,8.0,3.0,0.0
Macey Estrella,,,,,,,,,,1.0,10.0,0.0
