Wrestler,Wins,Losses,Draws,total,win %,loss %,draw %
Sonya Deville,13,20,1,34,38.23529411764706,58.82352941176471,2.941176470588235
Primo Colon,1,31,0,32,3.125,96.875,0.0
Tommaso Ciampa,22,8,1,31,70.96774193548387,25.806451612903224,3.225806451612903
Adrian Jaoude,13,17,0,30,43.333333333333336,56.666666666666664,0.0
Emma,2,27,1,30,6.666666666666667,90.0,3.3333333333333335
Gentleman Jack Gallagher,15,14,0,29,51.724137931034484,48.275862068965516,0.0
The Big Show,19,8,2,29,65.51724137931035,27.586206896551722,6.896551724137931
Buddy Murphy,20,8,0,28,71.42857142857143,28.57142857142857,0.0
Gran Metalik,18,10,0,28,64.28571428571429,35.714285714285715,0.0
Lars Sullivan,20,7,0,27,74.07407407407408,25.925925925925924,0.0
Kimberly Frankele,2,23,1,26,7.6923076923076925,88.46153846153845,3.8461538461538463
Lacey Evans,17,8,1,26,65.38461538461539,30.76923076923077,3.8461538461538463
Lana,12,14,0,26,46.15384615384615,53.84615384615385,0.0
The Velveteen Dream,9,17,0,26,34.61538461538461,65.38461538461539,0.0
Daria Berenato,13,12,0,25,52.0,48.0,0.0
Uriel Ealy,1,24,0,25,4.0,96.0,0.0
Xavier Woods,12,13,0,25,48.0,52.0,0.0
Dash Wilder,12,12,0,24,50.0,50.0,0.0
Jack Gallagher,21,3,0,24,87.5,12.5,0.0
Lince Dorado,8,16,0,24,33.33333333333333,66.66666666666666,0.0
Macey Estrella,7,17,0,24,29.166666666666668,70.83333333333334,0.0
Pete Dunne,15,9,0,24,62.5,37.5,0.0
Scott Dawson,11,13,0,24,45.83333333333333,54.166666666666664,0.0
Gabriel Ealy,1,22,0,23,4.3478260869565215,95.65217391304348,0.0
TJP,11,10,0,21,52.38095238095239,47.61904761904761,0.0
Zack Ryder,8,13,0,21,38.095238095238095,61.904761904761905,0.0
Demitrius Bronson,4,16,0,20,20.0,80.0,0.0
Simon Gotch,1,19,0,20,5.0,95.0,0.0
Tyler Bate,19,1,0,20,95.0,5.0,0.0
Nikki Bella,16,1,1,18,88.88888888888889,5.555555555555555,5.555555555555555
Trent Seven,10,7,0,17,58.82352941176471,41.17647058823529,0.0
Mark Andrews,9,7,0,16,56.25,43.75,0.0
Bianca Blair,4,10,1,15,26.666666666666668,66.66666666666666,6.666666666666667
Dan Matha,1,14,0,15,6.666666666666667,93.33333333333333,0.0
Marcel Barthel,2,13,0,15,13.333333333333334,86.66666666666667,0.0
Brennan Williams,1,13,0,14,7.142857142857142,92.85714285714286,0.0
Jeet Rama,10,4,0,14,71.42857142857143,28.57142857142857,0.0
Raul Mendoza,7,7,0,14,50.0,50.0,0.0
Sarah Logan,5,9,0,14,35.714285714285715,64.28571428571429,0.0
Wolfgang,6,8,0,14,42.857142857142854,57.14285714285714,0.0
Bianca Belair,6,7,0,13,46.15384615384615,53.84615384615385,0.0
Sarah Bridges,1,12,0,13,7.6923076923076925,92.3076923076923,0.0
Babatunde Aiyegbusi,10,2,0,12,83.33333333333334,16.666666666666664,0.0
Fabian Aichner,3,9,0,12,25.0,75.0,0.0
Tian Bing,7,5,0,12,58.333333333333336,41.66666666666667,0.0
Dylan Miley,5,6,0,11,45.45454545454545,54.54545454545454,0.0
Elias,2,9,0,11,18.181818181818183,81.81818181818183,0.0
Joseph Conners,1,10,0,11,9.090909090909092,90.9090909090909,0.0
Nick Miller,6,5,0,11,54.54545454545454,45.45454545454545,0.0
