Wrestler,Wins,Losses,Draws,Win Percent,Loss Percent,Draw Percent
Dean Ambrose,150,63,5,68.80733944954129,28.899082568807337,2.293577981651376
Roman Reigns,187,19,7,87.79342723004694,8.92018779342723,3.286384976525822
Cesaro,117,69,1,62.56684491978609,36.898395721925134,0.53475935828877
Big E,96,86,1,52.459016393442624,46.994535519125684,0.546448087431694
Luke Harper,55,122,3,30.555555555555557,67.77777777777779,1.6666666666666667
Kofi Kingston,86,90,1,48.58757062146893,50.847457627118644,0.5649717514124294
Seth Rollins,51,124,1,28.97727272727273,70.45454545454545,0.5681818181818182
Ryback,138,34,2,79.3103448275862,19.54022988505747,1.1494252873563218
Dolph Ziggler,115,52,2,68.04733727810651,30.76923076923077,1.183431952662722
Sin Cara,115,50,1,69.27710843373494,30.120481927710845,0.6024096385542169
Bray Wyatt,28,133,2,17.177914110429448,81.59509202453987,1.2269938650306749
Kalisto,107,54,2,65.6441717791411,33.12883435582822,1.2269938650306749
Viktor,19,143,0,11.728395061728394,88.27160493827161,0.0
Konnor,19,141,0,11.875,88.125,0.0
Bo Dallas,15,141,1,9.554140127388536,89.80891719745223,0.6369426751592357
Neville,116,38,0,75.32467532467533,24.675324675324674,0.0
Titus O'Neil,92,61,0,60.130718954248366,39.869281045751634,0.0
Kevin Owens,63,85,4,41.44736842105263,55.92105263157895,2.631578947368421
Adam Rose,8,142,1,5.298013245033113,94.03973509933775,0.6622516556291391
Sasha Banks,62,87,2,41.05960264900662,57.615894039735096,1.3245033112582782
Tyler Breeze,44,105,2,29.13907284768212,69.5364238410596,1.3245033112582782
Rusev,52,93,4,34.899328859060404,62.41610738255034,2.684563758389262
Naomi,55,92,1,37.16216216216216,62.16216216216216,0.6756756756756757
Stardust,38,110,0,25.675675675675674,74.32432432432432,0.0
Charlotte,108,35,3,73.97260273972603,23.972602739726025,2.054794520547945
Fandango,69,75,1,47.58620689655172,51.724137931034484,0.6896551724137931
Sheamus,58,86,1,40.0,59.310344827586206,0.6896551724137931
R-Truth,94,44,1,67.62589928057554,31.654676258992804,0.7194244604316548
Darren Young,87,47,2,63.970588235294116,34.55882352941176,1.4705882352941175
John Cena,125,11,0,91.91176470588235,8.088235294117647,0.0
Kane,44,92,0,32.35294117647059,67.64705882352942,0.0
The Miz,17,115,1,12.781954887218044,86.46616541353383,0.7518796992481203
Zack Ryder,88,45,0,66.16541353383458,33.83458646616541,0.0
Heath Slater,1,131,0,0.7575757575757576,99.24242424242425,0.0
Paige,68,62,2,51.515151515151516,46.96969696969697,1.5151515151515151
Becky Lynch,71,59,1,54.19847328244275,45.038167938931295,0.7633587786259541
Jack Swagger,65,65,0,50.0,50.0,0.0
Curtis Axel,58,68,2,45.3125,53.125,1.5625
The Big Show,30,94,1,24.0,75.2,0.8
Emma,62,62,0,50.0,50.0,0.0
Finn Balor,103,20,0,83.73983739837398,16.260162601626014,0.0
Jimmy Uso,82,36,3,67.76859504132231,29.75206611570248,2.479338842975207
Bayley,99,19,1,83.19327731092437,15.966386554621847,0.8403361344537815
Fernando,30,87,0,25.64102564102564,74.35897435897436,0.0
Baron Corbin,61,54,0,53.04347826086957,46.95652173913044,0.0
Diego,29,86,0,25.217391304347824,74.78260869565217,0.0
Xavier Woods,53,59,1,46.902654867256636,52.21238938053098,0.8849557522123894
Nikki Bella,68,43,0,61.261261261261254,38.73873873873874,0.0
Alicia Fox,36,74,0,32.72727272727273,67.27272727272727,0.0
Natalya,82,18,0,82.0,18.0,0.0
Brie Bella,41,58,0,41.41414141414141,58.58585858585859,0.0
Erick Rowan,53,44,1,54.08163265306123,44.89795918367347,1.0204081632653061
Simon Gotch,57,41,0,58.16326530612245,41.83673469387755,0.0
Aiden English,57,40,0,58.76288659793815,41.23711340206185,0.0
Bull Dempsey,62,34,0,64.58333333333334,35.41666666666667,0.0
Scott Dawson,38,58,0,39.58333333333333,60.416666666666664,0.0
Dash Wilder,38,57,0,40.0,60.0,0.0
Colin Cassady,69,24,0,74.19354838709677,25.806451612903224,0.0
Tye Dillinger,24,66,3,25.806451612903224,70.96774193548387,3.225806451612903
Randy Orton,81,10,1,88.04347826086956,10.869565217391305,1.0869565217391304
Tyson Kidd,39,49,1,43.82022471910113,55.0561797752809,1.1235955056179776
Jason Jordan,28,59,1,31.818181818181817,67.04545454545455,1.1363636363636365
King Barrett,22,65,0,25.287356321839084,74.71264367816092,0.0
Enzo Amore,67,19,0,77.90697674418605,22.093023255813954,0.0
Solomon Crowe,46,37,1,54.761904761904766,44.047619047619044,1.1904761904761905
Blake,31,51,0,37.80487804878049,62.19512195121951,0.0
Murphy,32,50,0,39.02439024390244,60.97560975609756,0.0
Chad Gable,26,55,0,32.098765432098766,67.90123456790124,0.0
Bad News Barrett,20,54,0,27.027027027027028,72.97297297297297,0.0
