Wrestler,Wins,Losses,Draws,Win Percent,Loss Percent,Draw Percent
Aliyah,22,22,1,48.888888888888886,48.888888888888886,2.2222222222222223
Epico Colon,1,44,0,2.2222222222222223,97.77777777777777,0.0
Peyton Royce,14,30,1,31.11111111111111,66.66666666666666,2.2222222222222223
Hideo Itami,30,12,2,68.18181818181817,27.27272727272727,4.545454545454546
Johnny Gargano,34,9,1,77.27272727272727,20.454545454545457,2.272727272727273
Austin Aries,17,26,0,39.53488372093023,60.46511627906976,0.0
Billie Kay,13,29,1,30.23255813953488,67.44186046511628,2.3255813953488373
Kona Reeves,4,38,1,9.30232558139535,88.37209302325581,2.3255813953488373
Noam Dar,9,34,0,20.930232558139537,79.06976744186046,0.0
Jeff Hardy,28,13,1,66.66666666666666,30.952380952380953,2.380952380952381
Matt Hardy,28,13,1,66.66666666666666,30.952380952380953,2.380952380952381
Mustafa Ali,21,20,0,51.21951219512195,48.78048780487805,0.0
Ariya Daivari,11,29,0,27.500000000000004,72.5,0.0
Drew McIntyre,36,3,1,90.0,7.5,2.5
Steve Cutler,10,30,0,25.0,75.0,0.0
Epico,3,34,2,7.6923076923076925,87.17948717948718,5.128205128205128
Alicia Fox,19,19,0,50.0,50.0,0.0
Primo,2,34,2,5.263157894736842,89.47368421052632,5.263157894736842
Cezar Bononi,4,31,1,11.11111111111111,86.11111111111111,2.7777777777777777
Patrick Clark,4,32,0,11.11111111111111,88.88888888888889,0.0
TJ Perkins,12,24,0,33.33333333333333,66.66666666666666,0.0
The Brian Kendrick,14,22,0,38.88888888888889,61.111111111111114,0.0
Cedric Alexander,20,15,0,57.14285714285714,42.857142857142854,0.0
Chris Jericho,14,20,1,40.0,57.14285714285714,2.857142857142857
Drew Gulak,9,26,0,25.71428571428571,74.28571428571429,0.0
Wesley Blake,5,30,0,14.285714285714285,85.71428571428571,0.0
Sonya Deville,13,20,1,38.23529411764706,58.82352941176471,2.941176470588235
Primo Colon,1,31,0,3.125,96.875,0.0
Tommaso Ciampa,22,8,1,70.96774193548387,25.806451612903224,3.225806451612903
Adrian Jaoude,13,17,0,43.333333333333336,56.666666666666664,0.0
Emma,2,27,1,6.666666666666667,90.0,3.3333333333333335
Gentleman Jack Gallagher,15,14,0,51.724137931034484,48.275862068965516,0.0
The Big Show,19,8,2,65.51724137931035,27.586206896551722,6.896551724137931
Buddy Murphy,20,8,0,71.42857142857143,28.57142857142857,0.0
Gran Metalik,18,10,0,64.28571428571429,35.714285714285715,0.0
Lars Sullivan,20,7,0,74.07407407407408,25.925925925925924,0.0
Kimberly Frankele,2,23,1,7.6923076923076925,88.46153846153845,3.8461538461538463
Lacey Evans,17,8,1,65.38461538461539,30.76923076923077,3.8461538461538463
Lana,12,14,0,46.15384615384615,53.84615384615385,0.0
The Velveteen Dream,9,17,0,34.61538461538461,65.38461538461539,0.0
Daria Berenato,13,12,0,52.0,48.0,0.0
Uriel Ealy,1,24,0,4.0,96.0,0.0
Xavier Woods,12,13,0,48.0,52.0,0.0
Dash Wilder,12,12,0,50.0,50.0,0.0
Jack Gallagher,21,3,0,87.5,12.5,0.0
Lince Dorado,8,16,0,33.33333333333333,66.66666666666666,0.0
Macey Estrella,7,17,0,29.166666666666668,70.83333333333334,0.0
Pete Dunne,15,9,0,62.5,37.5,0.0
Scott Dawson,11,13,0,45.83333333333333,54.166666666666664,0.0
Gabriel Ealy,1,22,0,4.3478260869565215,95.65217391304348,0.0
TJP,11,10,0,52.38095238095239,47.61904761904761,0.0
Zack Ryder,8,13,0,38.095238095238095,61.904761904761905,0.0
Demitrius Bronson,4,16,0,20.0,80.0,0.0
Simon Gotch,1,19,0,5.0,95.0,0.0
Tyler Bate,19,1,0,95.0,5.0,0.0
Nikki Bella,16,1,1,88.88888888888889,5.555555555555555,5.555555555555555
Trent Seven,10,7,0,58.82352941176471,41.17647058823529,0.0
Mark Andrews,9,7,0,56.25,43.75,0.0
Bianca Blair,4,10,1,26.666666666666668,66.66666666666666,6.666666666666667
Dan Matha,1,14,0,6.666666666666667,93.33333333333333,0.0
Marcel Barthel,2,13,0,13.333333333333334,86.66666666666667,0.0
Brennan Williams,1,13,0,7.142857142857142,92.85714285714286,0.0
Jeet Rama,10,4,0,71.42857142857143,28.57142857142857,0.0
Raul Mendoza,7,7,0,50.0,50.0,0.0
Sarah Logan,5,9,0,35.714285714285715,64.28571428571429,0.0
Wolfgang,6,8,0,42.857142857142854,57.14285714285714,0.0
Bianca Belair,6,7,0,46.15384615384615,53.84615384615385,0.0
Sarah Bridges,1,12,0,7.6923076923076925,92.3076923076923,0.0
Babatunde Aiyegbusi,10,2,0,83.33333333333334,16.666666666666664,0.0
Fabian Aichner,3,9,0,25.0,75.0,0.0
Tian Bing,7,5,0,58.333333333333336,41.66666666666667,0.0
Dylan Miley,5,6,0,45.45454545454545,54.54545454545454,0.0
Elias,2,9,0,18.181818181818183,81.81818181818183,0.0
Joseph Conners,1,10,0,9.090909090909092,90.9090909090909,0.0
Nick Miller,6,5,0,54.54545454545454,45.45454545454545,0.0
