Wrestler,Wins,Losses,Draws,Win Percent,Loss Percent,Draw Percent
Dolph Ziggler,134,60,2,68.36734693877551,30.612244897959183,1.0204081632653061
Seth Rollins,87,105,4,44.38775510204081,53.57142857142857,2.0408163265306123
Jimmy Uso,143,43,4,75.26315789473685,22.63157894736842,2.1052631578947367
Cesaro,64,120,1,34.5945945945946,64.86486486486487,0.5405405405405406
Jey Uso,139,42,4,75.13513513513513,22.702702702702705,2.1621621621621623
Goldust,101,77,1,56.424581005586596,43.01675977653631,0.5586592178770949
Bray Wyatt,49,129,0,27.52808988764045,72.47191011235955,0.0
Jack Swagger,49,123,1,28.32369942196532,71.09826589595376,0.5780346820809248
Luke Harper,31,140,1,18.023255813953487,81.3953488372093,0.5813953488372093
Sheamus,141,29,2,81.97674418604652,16.86046511627907,1.1627906976744187
Dean Ambrose,129,36,2,77.24550898203593,21.55688622754491,1.1976047904191618
Erick Rowan,38,124,2,23.170731707317074,75.60975609756098,1.2195121951219512
John Cena,141,23,0,85.97560975609755,14.02439024390244,0.0
Titus O'Neil,29,132,1,17.901234567901234,81.48148148148148,0.6172839506172839
Ryback,43,114,1,27.21518987341772,72.15189873417721,0.6329113924050633
Curtis Axel,22,132,1,14.193548387096774,85.16129032258064,0.6451612903225806
Kofi Kingston,82,72,1,52.903225806451616,46.45161290322581,0.6451612903225806
Roman Reigns,118,28,4,78.66666666666666,18.666666666666668,2.666666666666667
Fandango,20,124,1,13.793103448275861,85.51724137931035,0.6896551724137931
Alicia Fox,27,116,0,18.88111888111888,81.11888111888112,0.0
Kane,10,126,1,7.2992700729927,91.97080291970804,0.7299270072992701
Paige,84,47,2,63.1578947368421,35.338345864661655,1.5037593984962405
The Miz,40,92,1,30.075187969924812,69.17293233082707,0.7518796992481203
Big E,84,48,0,63.63636363636363,36.36363636363637,0.0
Sin Cara,81,49,0,62.30769230769231,37.69230769230769,0.0
The Big Show,107,21,2,82.3076923076923,16.153846153846153,1.5384615384615385
Natalya,80,47,0,62.99212598425197,37.00787401574803,0.0
Randy Orton,33,87,5,26.400000000000002,69.6,4.0
Diego,78,42,1,64.46280991735537,34.710743801652896,0.8264462809917356
Heath Slater,11,106,1,9.322033898305085,89.83050847457628,0.847457627118644
Damien Sandow,3,113,0,2.586206896551724,97.41379310344827,0.0
Alberto Del Rio,31,82,1,27.192982456140353,71.9298245614035,0.8771929824561403
Nikki Bella,75,39,0,65.78947368421053,34.21052631578947,0.0
Bo Dallas,52,60,1,46.017699115044245,53.09734513274337,0.8849557522123894
Adrian Neville,92,18,1,82.88288288288288,16.216216216216218,0.9009009009009009
Fernando,70,39,1,63.63636363636363,35.45454545454545,0.9090909090909091
R-Truth,61,49,0,55.45454545454545,44.54545454545455,0.0
Rusev,80,30,0,72.72727272727273,27.27272727272727,0.0
Adam Rose,86,21,0,80.37383177570094,19.626168224299064,0.0
Tyson Kidd,37,70,0,34.57943925233645,65.42056074766354,0.0
Sami Zayn,54,52,0,50.943396226415096,49.056603773584904,0.0
Emma,74,26,0,74.0,26.0,0.0
Stardust,52,45,0,53.608247422680414,46.391752577319586,0.0
AJ Lee,58,35,0,62.365591397849464,37.634408602150536,0.0
Cody Rhodes,46,43,1,51.11111111111111,47.77777777777778,1.1111111111111112
Naomi,71,16,2,79.7752808988764,17.97752808988764,2.247191011235955
Cameron,36,51,1,40.909090909090914,57.95454545454546,1.1363636363636365
Tyler Breeze,29,53,2,34.523809523809526,63.095238095238095,2.380952380952381
Viktor,51,33,0,60.71428571428571,39.285714285714285,0.0
Xavier Woods,33,45,1,41.77215189873418,56.9620253164557,1.2658227848101267
Konnor,49,29,0,62.82051282051282,37.17948717948718,0.0
Bad News Barrett,58,17,2,75.32467532467533,22.07792207792208,2.5974025974025974
Bayley,46,31,0,59.74025974025974,40.25974025974026,0.0
Charlotte,40,36,0,52.63157894736842,47.368421052631575,0.0
Summer Rae,19,55,2,25.0,72.36842105263158,2.631578947368421
Aiden English,37,37,0,50.0,50.0,0.0
Mark Henry,49,22,1,68.05555555555556,30.555555555555557,1.3888888888888888
Sasha Banks,26,46,0,36.11111111111111,63.888888888888886,0.0
Baron Corbin,55,16,0,77.46478873239437,22.535211267605636,0.0
Brie Bella,51,19,1,71.83098591549296,26.76056338028169,1.4084507042253522
Colin Cassady,47,23,1,66.19718309859155,32.3943661971831,1.4084507042253522
Layla,12,56,2,17.142857142857142,80.0,2.857142857142857
Simon Gotch,35,31,0,53.03030303030303,46.96969696969697,0.0
CJ Parker,24,41,0,36.92307692307693,63.07692307692307,0.0
Rob Van Dam,28,35,2,43.07692307692308,53.84615384615385,3.076923076923077
Kalisto,51,10,0,83.60655737704919,16.39344262295082,0.0
Zack Ryder,8,53,0,13.114754098360656,86.88524590163934,0.0
Drew McIntyre,1,56,2,1.694915254237288,94.91525423728814,3.389830508474576
Aksana,5,53,0,8.620689655172415,91.37931034482759,0.0
Jason Jordan,18,40,0,31.03448275862069,68.96551724137932,0.0
Justin Gabriel,3,53,1,5.263157894736842,92.98245614035088,1.7543859649122806
Bull Dempsey,35,20,0,63.63636363636363,36.36363636363637,0.0
Jinder Mahal,1,51,2,1.8518518518518516,94.44444444444444,3.7037037037037033
Daniel Bryan,35,16,2,66.0377358490566,30.18867924528302,3.7735849056603774
El Torito,48,5,0,90.56603773584906,9.433962264150944,0.0
Tye Dillinger,14,39,0,26.41509433962264,73.58490566037736,0.0
Damien Mizdow,11,39,0,22.0,78.0,0.0
Wesley Blake,10,39,0,20.408163265306122,79.59183673469387,0.0
Becky Lynch,27,21,0,56.25,43.75,0.0
The Great Khali,40,6,0,86.95652173913044,13.043478260869565,0.0
Dash Wilder,11,33,0,25.0,75.0,0.0
Alexa Bliss,24,19,0,55.81395348837209,44.18604651162791,0.0
Tamina Snuka,6,36,0,14.285714285714285,85.71428571428571,0.0
Scott Dawson,12,29,0,29.268292682926827,70.73170731707317,0.0
Alexander Rusev,37,2,1,92.5,5.0,2.5
Hornswoggle,3,37,0,7.5,92.5,0.0
Enzo Amore,29,9,1,74.35897435897436,23.076923076923077,2.564102564102564
Eva Marie,22,15,1,57.89473684210527,39.473684210526315,2.631578947368421
Sawyer Fulton,5,32,0,13.513513513513514,86.48648648648648,0.0
Rosa Mendes,2,33,1,5.555555555555555,91.66666666666666,2.7777777777777777
Angelo Dawkins,12,23,0,34.285714285714285,65.71428571428571,0.0
Buddy Murphy,7,28,0,20.0,80.0,0.0
Marcus Louis,16,18,1,45.714285714285715,51.42857142857142,2.857142857142857
Darren Young,26,8,0,76.47058823529412,23.52941176470588,0.0
Batista,15,13,4,46.875,40.625,12.5
Mojo Rawley,23,9,0,71.875,28.125,0.0
Chris Jericho,25,5,1,80.64516129032258,16.129032258064516,3.225806451612903
Solomon Crowe,10,21,0,32.25806451612903,67.74193548387096,0.0
Sylvester Lefort,7,23,1,22.58064516129032,74.19354838709677,3.225806451612903
Antonio Cesaro,5,24,0,17.24137931034483,82.75862068965517,0.0
Carmella,11,18,0,37.93103448275862,62.06896551724138,0.0
Santino Marella,15,11,0,57.692307692307686,42.30769230769231,0.0
Brodus Clay,3,21,1,12.0,84.0,4.0
Hideo Itami,24,0,1,96.0,0.0,4.0
Big E. Langston,19,4,1,79.16666666666666,16.666666666666664,4.166666666666666
Christian,10,14,0,41.66666666666667,58.333333333333336,0.0
Elias Sampson,3,21,0,12.5,87.5,0.0
Chad Gable,5,17,0,22.727272727272727,77.27272727272727,0.0
Mason Ryan,15,5,0,75.0,25.0,0.0
Rey Mysterio,8,11,0,42.10526315789473,57.89473684210527,0.0
Steve Cutler,4,15,0,21.052631578947366,78.94736842105263,0.0
Billy Gunn,7,10,1,38.88888888888889,55.55555555555556,5.555555555555555
Camacho,5,13,0,27.77777777777778,72.22222222222221,0.0
Road Dogg,7,10,1,38.88888888888889,55.55555555555556,5.555555555555555
Corey Graves,9,7,0,56.25,43.75,0.0
Dana Brooke,4,10,0,28.57142857142857,71.42857142857143,0.0
