Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws,Total Wins,Total Losses,Total Draws,Total Matches
Charlotte,17.0,16.0,0.0,40.0,36.0,0.0,108.0,35.0,3.0,86.0,42.0,1.0,251.0,129.0,4.0,384.0
Jason Jordan,11.0,20.0,0.0,18.0,40.0,0.0,28.0,59.0,1.0,126.0,23.0,2.0,183.0,142.0,3.0,328.0
Diego,27.0,1.0,0.0,78.0,42.0,1.0,29.0,86.0,0.0,1.0,19.0,0.0,135.0,148.0,1.0,284.0
Fernando,27.0,1.0,0.0,70.0,39.0,1.0,30.0,87.0,0.0,1.0,15.0,0.0,128.0,142.0,1.0,271.0
Tyler Breeze,7.0,19.0,0.0,29.0,53.0,2.0,44.0,105.0,2.0,17.0,163.0,2.0,97.0,340.0,6.0,443.0
Sawyer Fulton,10.0,14.0,0.0,5.0,32.0,0.0,7.0,41.0,0.0,28.0,42.0,1.0,50.0,129.0,1.0,180.0
Angelo Dawkins,10.0,13.0,0.0,12.0,23.0,0.0,11.0,45.0,0.0,21.0,62.0,0.0,54.0,143.0,0.0,197.0
Enzo Amore,3.0,15.0,1.0,29.0,9.0,1.0,67.0,19.0,0.0,79.0,48.0,3.0,178.0,91.0,5.0,274.0
Eva Marie,5.0,7.0,0.0,22.0,15.0,1.0,13.0,9.0,1.0,18.0,22.0,0.0,58.0,53.0,2.0,113.0
Tye Dillinger,0.0,10.0,0.0,14.0,39.0,0.0,24.0,66.0,3.0,60.0,41.0,1.0,98.0,156.0,4.0,258.0
Kalisto,3.0,4.0,0.0,51.0,10.0,0.0,107.0,54.0,2.0,75.0,59.0,0.0,236.0,127.0,2.0,365.0
Viktor,6.0,1.0,0.0,51.0,33.0,0.0,19.0,143.0,0.0,2.0,145.0,1.0,78.0,322.0,1.0,401.0
Adam Rose,4.0,1.0,0.0,86.0,21.0,0.0,8.0,142.0,1.0,6.0,23.0,0.0,104.0,187.0,1.0,292.0
Konnor,5.0,0.0,0.0,49.0,29.0,0.0,19.0,141.0,0.0,2.0,110.0,1.0,75.0,280.0,1.0,356.0
Alexa Bliss,1.0,3.0,0.0,24.0,19.0,0.0,19.0,37.0,0.0,35.0,90.0,0.0,79.0,149.0,0.0,228.0
Becky Lynch,0.0,4.0,0.0,27.0,21.0,0.0,71.0,59.0,1.0,102.0,54.0,5.0,200.0,138.0,6.0,344.0
Simon Gotch,1.0,2.0,0.0,35.0,31.0,0.0,57.0,41.0,0.0,11.0,111.0,1.0,104.0,185.0,1.0,290.0
